timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output
8.532000,-0.054578,3.084222,0.164578,0.020424,3.866177,3.866177
8.536000,-0.045602,2.780293,0.155602,0.021046,3.845630,3.845630
8.540000,-0.038856,2.685197,0.148856,0.021641,3.845384,3.845384
8.544000,-0.024349,2.767785,0.134349,0.022179,3.756923,3.756923
8.548000,-0.018379,2.752711,0.128379,0.022692,3.755965,3.755965
8.552000,-0.001862,2.786800,0.111862,0.023140,3.636549,3.636549
8.556000,0.007036,3.016901,0.102964,0.023552,3.593912,3.593912
8.560000,0.014870,3.250589,0.095130,0.023932,3.558795,3.558795
8.564000,0.025412,2.998707,0.084588,0.024270,3.490325,3.490325
8.568000,0.032126,3.012625,0.077874,0.024582,3.459160,3.459160
8.572000,0.039547,3.133420,0.070453,0.024864,3.416951,3.416951
8.576000,0.047987,3.126492,0.062013,0.025112,3.360144,3.360144
8.580000,0.051100,3.312673,0.058900,0.025347,3.357829,3.357829
8.584000,0.056772,3.755507,0.053228,0.025560,3.325569,3.325569
8.588000,0.060067,3.639934,0.049933,0.025760,3.316609,3.316609
8.592000,0.065082,3.477311,0.044918,0.025940,3.286987,3.286987
8.596000,0.066762,3.163837,0.043238,0.026113,3.291480,3.291480
8.600000,0.068966,2.814706,0.041034,0.026277,3.289047,3.289047
8.604000,0.074484,2.764981,0.035516,0.026419,3.249083,3.249083
8.608000,0.077458,2.434240,0.032542,0.026549,3.234611,3.234611
8.612000,0.082621,2.471894,0.027379,0.026659,3.194682,3.194682
8.616000,0.085875,2.602285,0.024125,0.026755,3.173444,3.173444
8.620000,0.082389,2.688665,0.027611,0.026866,3.224363,3.224363
8.624000,0.086629,2.706877,0.023371,0.026959,3.191523,3.191523
8.628000,0.092152,2.624998,0.017848,0.027030,3.142917,3.142917
8.632000,0.093990,2.310523,0.016010,0.027094,3.132444,3.132444
8.636000,0.093138,2.354177,0.016862,0.027162,3.150420,3.150420
8.640000,0.092116,2.063632,0.017884,0.027233,3.170216,3.170216
8.644000,0.097462,1.697336,0.012538,0.027284,3.120460,3.120460
8.648000,0.096925,1.676929,0.013075,0.027336,3.133074,3.133074
8.652000,0.093661,1.653421,0.016339,0.027401,3.175456,3.175456
8.656000,0.094278,1.626097,0.015722,0.027464,3.176315,3.176315
8.660000,0.098724,1.588896,0.011276,0.027509,3.134983,3.134983
8.664000,0.099750,1.445714,0.010250,0.027550,3.129473,3.129473
8.668000,0.096916,1.122183,0.013084,0.027603,3.165697,3.165697
8.672000,0.102778,0.941481,0.007222,0.027631,3.107606,3.107606
8.676000,0.109377,0.917461,0.000623,0.027634,3.039408,3.039408
8.680000,0.108938,0.883789,0.001062,0.027638,3.045797,3.045797
8.684000,0.107667,0.814071,0.002333,0.027647,3.061169,3.061169
8.688000,0.116596,0.897759,-0.006596,0.027621,2.965189,2.965189
8.692000,0.124115,1.052901,-0.014115,0.027565,2.881469,2.881469
8.696000,0.122599,1.150725,-0.012599,0.027514,2.893735,2.893735
8.700000,0.118286,0.945794,-0.008286,0.027481,2.936751,2.936751
8.704000,0.117505,0.464500,-0.007505,0.027451,2.942311,2.942311
8.708000,0.122854,0.087756,-0.012854,0.027400,2.880939,2.880939
8.712000,0.122854,0.028672,-0.012854,0.027348,2.876178,2.876178
8.716000,0.120792,-0.184868,-0.010792,0.027305,2.893801,2.893801
8.720000,0.120490,-0.138025,-0.010490,0.027263,2.892728,2.892728
8.724000,0.122483,-0.247275,-0.012483,0.027213,2.866574,2.866574
8.728000,0.130416,0.577711,-0.020416,0.027132,2.774705,2.774705
8.732000,0.135694,0.611853,-0.025694,0.027029,2.709097,2.709097
8.736000,0.142294,0.649278,-0.032294,0.026900,2.627014,2.627014
